benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.local-values	1	0.101	0.101	0.101	0.101	0.101
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.scopes	1	0.091	0.091	0.091	0.091	0.091
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.validations	1	0.104	0.104	0.104	0.104	0.104
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.derived-instances	1	0.107	0.107	0.107	0.107	0.107
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.instance-skeletons	1	0.108	0.108	0.108	0.108	0.108
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.finalize-context	1	0.158	0.158	0.158	0.158	0.158
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.constructor-bindings	1	0.112	0.112	0.112	0.112	0.112
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.instance_methods_group_finalize	1	0.137	0.137	0.137	0.137	0.137
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.instance-bindings	1	0.388	0.388	0.388	0.388	0.388
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.def_main_lower	1	0.132	0.132	0.132	0.132	0.132
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.defs_scc_classification	1	0.121	0.121	0.121	0.121	0.121
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.operation.Main.def_main	1	0.228	0.228	0.228	0.228	0.228
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.def-bindings	1	0.952	0.952	0.952	0.952	0.952
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main.exports	1	0.092	0.092	0.092	0.092	0.092
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module.Main	1	4.490	4.490	4.490	4.490	4.490
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.module-interface.Main	1	0.095	0.095	0.095	0.095	0.095
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules.main-binding	1	0.098	0.098	0.098	0.098	0.098
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.modules	1	480.116	480.116	480.116	480.116	480.116
fixture-cross-module-let	test/programs/packages/cross-module-let	program.check.package-interface	1	0.135	0.135	0.135	0.135	0.135
fixture-cross-module-let	test/programs/packages/cross-module-let	program.cli.command	1	494.362	494.362	494.362	494.362	494.362
fixture-cross-module-let	test/programs/packages/cross-module-let	real	1	1560.000	1560.000	1560.000	1560.000	1560.000
fixture-cross-module-let	test/programs/packages/cross-module-let	user	1	470.000	470.000	470.000	470.000	470.000
fixture-cross-module-let	test/programs/packages/cross-module-let	sys	1	40.000	40.000	40.000	40.000	40.000
fixture-cross-module-let	test/programs/packages/cross-module-let	command.status	1	0.000	0.000	0.000	0.000	0.000
