benchmark	path	metric	runs	min_ms	median_ms	max_ms	mean_ms	values_ms
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typedLetForallSpan_lower	1	0.330	0.330	0.330	0.330	0.330
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typedDefMainSpan_lower	1	0.305	0.305	0.305	0.305	0.305
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_dataModuleSpan_lower	1	0.342	0.342	0.342	0.342	0.342
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_dataExportNatSpan_lower	1	0.292	0.292	0.292	0.292	0.292
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_dataExportMainSpan_lower	1	0.311	0.311	0.311	0.311	0.311
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_dataDeclSpan_lower	1	0.285	0.285	0.285	0.285	0.285
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_dataZeroConstructorSpan_lower	1	0.312	0.312	0.312	0.312	0.312
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_dataSuccConstructorSpan_lower	1	0.316	0.316	0.316	0.316	0.316
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_dataDefMainSpan_lower	1	0.282	0.282	0.282	0.282	0.282
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_dataZeroColonSpan_lower	1	0.307	0.307	0.307	0.307	0.307
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_caseConstructorModuleSpan_lower	1	0.343	0.343	0.343	0.343	0.343
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_caseConstructorDefMainSpan_lower	1	0.325	0.325	0.325	0.325	0.325
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_caseNestedModuleSpan_lower	1	0.302	0.302	0.302	0.302	0.302
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_caseNestedDefMainSpan_lower	1	0.313	0.313	0.313	0.313	0.313
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_caseBranchArrowSpan_lower	1	0.332	0.332	0.332	0.332	0.332
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassDerivingModuleSpan_lower	1	0.341	0.341	0.341	0.341	0.341
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassDerivingExportEqSpan_lower	1	0.374	0.374	0.374	0.374	0.374
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassDerivingExportNatSpan_lower	1	0.457	0.457	0.457	0.457	0.457
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassDerivingExportEqMethodSpan_lower	1	0.420	0.420	0.420	0.420	0.420
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassDerivingExportMainSpan_lower	1	0.404	0.404	0.404	0.404	0.404
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassDerivingClassSpan_lower	1	0.377	0.377	0.377	0.377	0.377
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassDerivingEqMethodSpan_lower	1	0.415	0.415	0.415	0.415	0.415
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassDerivingDataSpan_lower	1	0.373	0.373	0.373	0.373	0.373
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassDerivingZeroConstructorSpan_lower	1	0.384	0.384	0.384	0.384	0.384
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassDerivingSuccConstructorSpan_lower	1	0.444	0.444	0.444	0.444	0.444
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassDerivingEqSpan_lower	1	0.442	0.442	0.442	0.442	0.442
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassDerivingDefMainSpan_lower	1	0.373	0.373	0.373	0.373	0.373
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassInstanceModuleSpan_lower	1	0.384	0.384	0.384	0.384	0.384
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassInstanceExportMonoidSpan_lower	1	0.339	0.339	0.339	0.339	0.339
parser-library	test/programs/compiler-parser-parity/parser-library	program.check.operation.ParserParitySource.def_typeclassInstanceExportNatSpan_lower	1	0.332	0.332	0.332	0.332	0.332
